dataset_short_name,nextclade_sort_extensions,nextclade_dataset_name,nextclade_dataset_tag
H1N1_HA,nextstrain/flu/h1n1pdm/ha/sequences.fasta,flu_h1n1pdm_ha,2025-10-22--18-11-36Z
H1N1_NA,nextstrain/flu/h1n1pdm/na/sequences.fasta,flu_h1n1pdm_na,2025-09-09--12-13-13Z
H1N1_MP,nextstrain/flu/h1n1pdm/mp/sequences.fasta,nextstrain/flu/h1n1pdm/mp,2025-09-09--12-13-13Z
H1N1_NP,nextstrain/flu/h1n1pdm/np/sequences.fasta,nextstrain/flu/h1n1pdm/np,2025-09-09--12-13-13Z
H1N1_NS,nextstrain/flu/h1n1pdm/ns/sequences.fasta,nextstrain/flu/h1n1pdm/ns,2025-09-09--12-13-13Z
H1N1_PA,nextstrain/flu/h1n1pdm/pa/sequences.fasta,nextstrain/flu/h1n1pdm/pa,2025-09-09--12-13-13Z
H1N1_PB1,nextstrain/flu/h1n1pdm/pb1/sequences.fasta,nextstrain/flu/h1n1pdm/pb1,2025-09-09--12-13-13Z
H1N1_PB2,nextstrain/flu/h1n1pdm/pb2/sequences.fasta,nextstrain/flu/h1n1pdm/pb2,2025-09-09--12-13-13Z
H3N2_HA,nextstrain/flu/h3n2/ha/sequences.fasta,flu_h3n2_ha,2025-11-04--15-46-13Z
H3N2_NA,nextstrain/flu/h3n2/na/sequences.fasta,flu_h3n2_na,2025-09-09--12-13-13Z
H3N2_MP,nextstrain/flu/h3n2/mp/sequences.fasta,nextstrain/flu/h3n2/mp,2025-09-09--12-13-13Z
H3N2_NP,nextstrain/flu/h3n2/np/sequences.fasta,nextstrain/flu/h3n2/np,2025-09-09--12-13-13Z
H3N2_NS,nextstrain/flu/h3n2/ns/sequences.fasta,nextstrain/flu/h3n2/ns,2025-09-09--12-13-13Z
H3N2_PA,nextstrain/flu/h3n2/pa/sequences.fasta,nextstrain/flu/h3n2/pa,2025-09-09--12-13-13Z
H3N2_PB1,nextstrain/flu/h3n2/pb1/sequences.fasta,nextstrain/flu/h3n2/pb1,2025-09-09--12-13-13Z
H3N2_PB2,nextstrain/flu/h3n2/pb2/sequences.fasta,nextstrain/flu/h3n2/pb2,2025-09-09--12-13-13Z
H0N0_HA,nextstrain/flu/vic/ha/sequences.fasta,flu_vic_ha,2025-10-22--18-11-36Z
H0N0_NA,nextstrain/flu/vic/na/sequences.fasta,flu_vic_na,2025-09-09--12-13-13Z
H0N0_MP,nextstrain/flu/vic/mp/sequences.fasta,nextstrain/flu/vic/mp,2025-09-09--12-13-13Z
H0N0_NP,nextstrain/flu/vic/np/sequences.fasta,nextstrain/flu/vic/np,2025-09-09--12-13-13Z
H0N0_NS,nextstrain/flu/vic/ns/sequences.fasta,nextstrain/flu/vic/ns,2025-09-09--12-13-13Z
H0N0_PA,nextstrain/flu/vic/pa/sequences.fasta,nextstrain/flu/vic/pa,2025-09-09--12-13-13Z
H0N0_PB1,nextstrain/flu/vic/pb1/sequences.fasta,nextstrain/flu/vic/pb1,2025-09-09--12-13-13Z
H0N0_PB2,nextstrain/flu/vic/pb2/sequences.fasta,nextstrain/flu/vic/pb2,2025-09-09--12-13-13Z
H5Nx_all_HA,community/moncla-lab/iav-h5/ha/all-clades/sequences.fasta,community/moncla-lab/iav-h5/ha/all-clades,2025-09-09--12-13-13Z
H5Nx_2.3.2.1_HA,community/moncla-lab/iav-h5/ha/2.3.2.1/sequences.fasta,community/moncla-lab/iav-h5/ha/2.3.2.1,2025-09-09--12-13-13Z
H5Nx_2.3.4.4_HA,community/moncla-lab/iav-h5/ha/2.3.4.4/sequences.fasta,community/moncla-lab/iav-h5/ha/2.3.4.4,2025-09-09--12-13-13Z
